atlas_id	family	resource	scene_id	row	column	x	y	width	height	semantic_name	category	description	intended_use
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r2c3	2	3	1369	389	668	369	interior-turbine-corridor	engineering	Turbine-lined corridor ending at a sealed hatch.	systems background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r1c1	1	1	3	3	680	378	interior-cockpit-console	bridge	Cockpit console facing a blue exterior viewport.	navigation background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r1c2	1	2	686	3	680	378	interior-generator-corridor	engineering	Generator machinery lining a sealed corridor.	engineering background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r1c3	1	3	1368	3	677	378	interior-machine-bench-room	workshop	Machine bench room with storage and tools.	crafting background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r2c1	2	1	3	383	680	382	interior-bright-medical-container-lab	laboratory	Bright container laboratory with specimen cradle.	research or import background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r2c2	2	2	686	383	680	382	interior-infirmary-treatment-bay	medical	Infirmary treatment bay with central patient table.	medical background
interior-03	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_03.png	int-03-r2c3	2	3	1368	383	677	382	interior-circular-airlock-passage	corridor	Circular airlock passage with observation windows.	transit background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r1c1	1	1	4	5	675	376	interior-command-observation-room	bridge	Command observation room with blue exterior view.	application shell background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r1c2	1	2	686	5	676	376	interior-pressure-door-junction	corridor	Pressure-door junction surrounded by pipes.	transit background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r1c3	1	3	1369	5	675	376	interior-mess-work-table	operations	Central work table beneath warm industrial lighting.	operations or planning background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r2c1	2	1	4	386	675	377	interior-equipment-storage-corridor	storage	Equipment storage corridor with machinery racks.	inventory or logistics background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r2c2	2	2	686	386	676	377	interior-planning-room	operations	Planning room with broad central table and instruments.	simulation or faction background
interior-04	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_04.png	int-04-r2c3	2	3	1369	386	675	377	interior-rounded-airlock-corridor	corridor	Rounded airlock corridor with sealed hatch.	transit background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r1c1	1	1	6	6	672	375	interior-forward-command-room	bridge	Forward command room overlooking blue water.	navigation or observation background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r1c2	1	2	688	6	672	375	interior-bridge-console	bridge	Compact bridge console and panoramic windows.	application shell background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r1c3	1	3	1369	6	672	375	interior-maintenance-workshop	workshop	Maintenance workshop with central machinery table.	crafting background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r2c1	2	1	6	387	672	375	interior-utility-storage-passage	storage	Utility passage packed with cylinders and racks.	inventory background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r2c2	2	2	688	387	672	375	interior-engineering-planning-room	operations	Engineering planning room with central work table.	logistics background
interior-05	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_05.png	int-05-r2c3	2	3	1369	387	672	375	interior-circular-hatch-corridor	corridor	Circular hatch corridor surrounded by controls.	transit background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r1c1	1	1	5	5	704	375	interior-observation-airlock	observation	Observation airlock with windows and external blue light.	observation background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r1c2	1	2	713	5	646	375	interior-compact-control-room	bridge	Compact control room with multiple windows and consoles.	application shell background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r1c3	1	3	1364	5	679	375	interior-machine-shop	workshop	Machine shop with workbench and heavy tools.	crafting background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r2c1	2	1	5	385	704	378	interior-cylinder-storage-corridor	storage	Corridor lined with cylinders and equipment lockers.	inventory background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r2c2	2	2	713	385	646	378	interior-operations-table-room	operations	Operations room centered on an instrument table.	simulation background
interior-06	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_06.png	int-06-r2c3	2	3	1364	385	679	378	interior-heavy-airlock	corridor	Heavy circular airlock and surrounding machinery.	transit background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r1c1	1	1	6	15	674	367	interior-compressor-bay	engineering	Compressor bay with large horizontal machinery.	engineering background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r1c2	1	2	687	15	674	367	interior-pilot-control-room	bridge	Pilot control room with blue exterior viewports.	navigation background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r1c3	1	3	1368	15	673	367	interior-workbench-machine-room	workshop	Workbench machine room with suspended lighting.	maintenance background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r2c1	2	1	6	390	674	367	interior-maintenance-junction	engineering	Maintenance junction with pipes, ladder, and storage.	systems background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r2c2	2	2	687	390	674	367	interior-fabrication-table-room	workshop	Fabrication room with large illuminated work table.	crafting background
interior-07	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_07.png	int-07-r2c3	2	3	1368	390	673	367	interior-pressure-hatch-passage	corridor	Pressure hatch passage with brass controls.	transit background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r1c1	1	1	5	5	674	376	interior-engine-machinery-room	engineering	Engine machinery room with large rotating assembly.	engineering background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r1c2	1	2	687	5	674	376	interior-cockpit-bridge	bridge	Cockpit bridge with multiple panoramic windows.	navigation background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r1c3	1	3	1369	5	674	376	interior-cargo-workbench-room	workshop	Cargo workbench room with storage crates.	inventory or crafting background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r2c1	2	1	5	387	674	376	interior-equipment-crate-corridor	storage	Equipment corridor with stacked crates and ladder.	logistics background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r2c2	2	2	687	387	674	376	interior-research-lab-room	laboratory	Research lab with long central examination table.	research background
interior-08	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_08.png	int-08-r2c3	2	3	1369	387	674	376	interior-sealed-airlock-corridor	corridor	Sealed airlock corridor with observation ports.	transit background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r1c1	1	1	2	1	676	379	interior-windowed-control-station	bridge	Windowed control station with compact consoles.	observation background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r1c2	1	2	686	1	676	379	interior-circular-equipment-room	engineering	Circular equipment room with machinery and gauges.	systems background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r1c3	1	3	1370	1	676	379	interior-storage-gallery	storage	Storage gallery with shelves and equipment racks.	inventory background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r2c1	2	1	2	388	676	378	interior-maintenance-corridor	engineering	Maintenance corridor with piping and service stations.	engineering background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r2c2	2	2	686	388	676	378	interior-operations-hall	operations	Large operations hall with workstations and tables.	simulation background
interior-09	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_09.png	int-09-r2c3	2	3	1370	388	676	378	interior-technical-service-room	engineering	Technical service room with dense machinery.	maintenance background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r1c1	1	1	7	6	672	375	interior-industrial-command-room	bridge	Industrial command room facing a blue exterior view.	application shell background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r1c2	1	2	687	6	674	375	interior-bridge-workstation	bridge	Bridge workstation with panoramic windows.	navigation background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r1c3	1	3	1368	6	674	375	interior-observation-console	observation	Observation console facing exterior industrial structures.	observation background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r2c1	2	1	7	387	672	374	interior-bright-containment-bay	laboratory	Bright containment bay with central specimen cradle.	import or research background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r2c2	2	2	687	387	674	374	interior-navigation-control-room	bridge	Navigation control room with circular displays.	world map background
interior-10	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_10.png	int-10-r2c3	2	3	1368	387	674	374	interior-observation-airlock-room	observation	Observation airlock room with multiple windows.	transit or observation background
